제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
메르세데스벤츠코리아(주),C 300,3/26/21,3/26/21,2/4/22,"메르세데스 미 서비스(Mercedes me)를 위해 차량과 본사 서버(backend server)간 통신 연결 시 멀티미디어 시스템(MBUX)이 본사 서버의 잘못된 설정값(configuration)으로 업데이트되었을 수 있습니다. 이러한 경우, 멀티미디어 시스템의 일부 기능(예: TV, 디지털 사용 설명서)이 주행 시 자동으로 꺼지지 않을 수 있습니다."
혼다코리아(주),PILOT,8/21/15,4/9/19,2/7/22,후드걸쇠장치의 강성 부족으로 인한 파손으로 주행 중 후드가 열려 안전에 영향을 끼칠 가능성이 있음.
폭스바겐그룹코리아 주식회사,SQ5 TFSI,3/7/17,11/30/21,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,SQ5 TDI,3/18/20,3/21/20,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,SQ5 Sportback TFSI qu.,8/5/21,12/3/21,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 Sportback 45 TFSI qu.,6/3/21,11/29/21,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 Sportback 40 TDI qu.,5/15/21,11/30/21,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 50 TDI qu.,2/28/20,3/21/20,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 45 TFSI qu.,7/31/17,10/25/21,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,Q5 40 TDI qu.,2/5/20,12/2/21,2/7/22,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤 유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
메르세데스벤츠코리아(주),S 400 d 4MATIC,11/10/20,3/4/21,2/11/22,"해당 모델의 뒤 브레이크 패드는 유럽(ECE) 사양으로 인증되었으나, 미국 사양으로 인증된 브레이크 패드로 잘못 장착되었을 수 있습니다."
메르세데스벤츠코리아(주),CLS 400 d 4MATIC,3/5/18,5/30/18,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,11/6/19,10/19/21,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLC 220 d 4MATIC Coupe,11/13/19,10/18/21,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),C 220 d 4MATIC,11/21/19,4/19/21,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLS 400 d 4MATIC,2/17/20,10/11/21,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 400 d 4MATIC Coupe,2/13/20,9/30/21,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2/4/19,10/13/21,2/11/22,냉각수 펌프를 제어하는 엔진 컨트롤 유닛의 소프트웨어 오류로 인해 냉각수 펌프내 진공 시스템과 냉각수 라인 사이의 실링(sealing)에 응력이 증가되어 냉각수 누수가 발생될 수 있습니다. 이러한 경우 냉각수 펌프 또는 배기 재순환 밸브의 전기 스위치 밸브에 냉각수가 유입될 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,4/6/21,5/29/21,2/11/22,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 580 4MATIC,10/16/20,5/28/21,2/11/22,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 500 4MATIC,7/21/20,5/28/21,2/11/22,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 400 d 4MATIC,11/10/20,1/19/21,2/11/22,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
메르세데스벤츠코리아(주),S 350 d,7/15/20,5/6/21,2/11/22,"비상 통신 모듈의 소프트웨어 오류로 차량 사고 발생시 비상 통화 기능을 자동 또는 수동으로 사용하지 못할 수 있고, 또한 차량 위치 데이터가 전송되지 않을 수도 있습니다."
현대자동차(주),쏘나타 하이브리드 (LF HEV),4/12/16,5/8/17,2/11/22,리콜 조치 이후 일부 차량에서 쏘나타 하이브리드 (LF HEV) 17MY KSDS 진단 로직 오류로 인해 엔진 진동 이상 발생시 고장 진단을 못하여 엔진 내부의 일부 부품 마모 등 손상으로 인해 지속 운행시 시동 꺼짐 및 화재 발생 가능성
비엠더블유코리아(주),X4 xDrive20d xLine,6/15/18,3/22/19,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),X3 xDrive20d M Sport Package,9/4/17,3/23/19,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d xDrive,5/23/16,6/14/18,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d xDrive,11/10/15,11/10/15,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d xDrive,6/13/14,10/27/16,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d,9/13/16,6/14/18,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d,2/1/16,2/1/16,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),520d,6/10/14,10/25/16,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d xDrive Gran Coupe,4/6/17,8/28/20,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d xDrive Gran Coupe,3/25/15,2/24/17,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d xDrive Coupe,3/16/15,1/24/17,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Touring,7/17/15,12/1/16,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Gran Turismo xDrive,6/20/16,7/31/20,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Gran Turismo,6/17/15,6/24/16,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d Gran Turismo,6/20/16,7/31/20,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d EfficientDynamics Edition,7/6/15,12/4/17,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d,7/2/15,9/17/18,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),220d Coupe,10/16/14,2/25/15,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),120d,3/13/15,4/15/15,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),118d,3/2/15,6/24/19,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d xDrive,7/25/15,3/28/18,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),320d xDrive Gran Turismo,7/17/15,6/27/16,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Coupe,2/27/15,1/26/17,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Coupe,3/2/17,5/20/20,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Gran Coupe,2/13/15,1/31/17,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
비엠더블유코리아(주),420d Gran Coupe,3/3/17,8/25/20,2/16/22,배기가스재순환장치 쿨러 내부 냉각수 누설 가능성
포르쉐코리아 주식회사,카이엔 쿠페,9/17/20,10/31/20,2/16/22,"뒤 차축 트레일링 암*의 너트를 교체하는 시정조치 AMA9 수행 시 뒤 차축 휠 얼라인먼트** 작업이 포함되지 않아 휠 얼라인먼트 값이 변경될 수 있습니다. *트레일링 암: 주행 시 현가장치에서 발생되는 비틀림을 흡수하여 복원력을 발생 시키기 위해, 한 쪽은 차체에 다른 한 쪽은 현가 장치에 연결되어 설치한 암 **휠 얼라인먼트 : 자동차의 바퀴의 위치, 방향 및 상호 밸런스 등을 올바르게 유지하는 정렬 상태, 혹은 이것을 하는 작업."
포르쉐코리아 주식회사,카이엔,9/16/20,10/22/20,2/16/22,"뒤 차축 트레일링 암*의 너트를 교체하는 시정조치 AMA9 수행 시 뒤 차축 휠 얼라인먼트** 작업이 포함되지 않아 휠 얼라인먼트 값이 변경될 수 있습니다. *트레일링 암: 주행 시 현가장치에서 발생되는 비틀림을 흡수하여 복원력을 발생 시키기 위해, 한 쪽은 차체에 다른 한 쪽은 현가 장치에 연결되어 설치한 암 **휠 얼라인먼트 : 자동차의 바퀴의 위치, 방향 및 상호 밸런스 등을 올바르게 유지하는 정렬 상태, 혹은 이것을 하는 작업."
화창상사(주),CHIEFTAIN,11/22/13,4/3/14,2/18/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEF VINTAGE,11/27/13,5/7/14,2/18/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEF CLASSIC,11/7/13,3/28/14,2/18/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
범한자동차 주식회사,E-SKY 11,7/1/21,9/13/21,2/18/22,차량 전·후면 상부 및 전면 하부 DECO LAMP는 자동차 안전기준 제47조(그 밖의 등화의 제한) 기준에 부적합 합니다.
